time	V(input_signal)	V(v_out)	I(Speaker)
0.000000000000000e+00	2.500000e+00	2.071623e+00	2.589529e-01
2.929687742403431e-11	2.500000e+00	2.071623e+00	2.589529e-01
1.171875096961372e-10	2.500001e+00	2.071623e+00	2.589529e-01
2.343750193922745e-10	2.500003e+00	2.071623e+00	2.589529e-01
4.687500387845489e-10	2.500006e+00	2.071623e+00	2.589529e-01
9.375000775690978e-10	2.500012e+00	2.071623e+00	2.589529e-01
1.875000155138196e-09	2.500024e+00	2.071624e+00	2.589529e-01
1.002486161918374e-08	2.500126e+00	2.071624e+00	2.589530e-01
1.322980892460308e-08	2.500166e+00	2.071624e+00	2.589530e-01
1.679791875698609e-08	2.500211e+00	2.071624e+00	2.589530e-01
1.768994621508184e-08	2.500222e+00	2.071624e+00	2.589530e-01
1.947400113127334e-08	2.500245e+00	2.071624e+00	2.589530e-01
2.457130089182049e-08	2.500309e+00	2.071624e+00	2.589530e-01
2.966860065236764e-08	2.500373e+00	2.071624e+00	2.589531e-01
3.476590041291479e-08	2.500437e+00	2.071625e+00	2.589531e-01
3.986320017346194e-08	2.500501e+00	2.071625e+00	2.589531e-01
4.496049993400909e-08	2.500565e+00	2.071624e+00	2.589531e-01
5.005779969455624e-08	2.500629e+00	2.071624e+00	2.589530e-01
5.515509945510338e-08	2.500693e+00	2.071624e+00	2.589530e-01
5.688544729185323e-08	2.500715e+00	2.071624e+00	2.589530e-01
5.775062121022815e-08	2.500726e+00	2.071624e+00	2.589530e-01
6.121131688372784e-08	2.500769e+00	2.071624e+00	2.589530e-01
7.561302130824328e-08	2.500950e+00	2.071625e+00	2.589531e-01
7.999460085273995e-08	2.501005e+00	2.071624e+00	2.589530e-01
8.437618039723663e-08	2.501060e+00	2.071624e+00	2.589530e-01
8.875775994173330e-08	2.501115e+00	2.071624e+00	2.589530e-01
9.313933948622998e-08	2.501170e+00	2.071623e+00	2.589529e-01
9.752091903072665e-08	2.501225e+00	2.071623e+00	2.589529e-01
1.019024985752233e-07	2.501280e+00	2.071623e+00	2.589529e-01
1.062840781197200e-07	2.501336e+00	2.071623e+00	2.589528e-01
1.111776390597833e-07	2.501397e+00	2.071621e+00	2.589527e-01
1.129203986348311e-07	2.501419e+00	2.071622e+00	2.589527e-01
