time	V(dac_out)	V(after_filter)
0.000000000000000e+00	2.500000e+00	2.499999e+00
9.765624940649698e-12	2.500000e+00	2.500000e+00
1.953124988129940e-11	2.500000e+00	2.500000e+00
3.906249976259879e-11	2.500000e+00	2.500000e+00
7.812499952519758e-11	2.500000e+00	2.499999e+00
1.562499990503952e-10	2.500000e+00	2.499999e+00
3.124999981007903e-10	2.500000e+00	2.499999e+00
1.249999992403161e-09	2.500000e+00	2.499999e+00
2.499999984806323e-09	2.500000e+00	2.499999e+00
4.999999969612645e-09	2.500000e+00	2.499999e+00
5.624999965814226e-09	2.500000e+00	2.499999e+00
6.874999958217387e-09	2.500000e+00	2.499999e+00
3.374999979488535e-07	2.500000e+00	2.499999e+00
3.396882867566184e-07	2.500000e+00	2.500000e+00
3.443204374483378e-07	2.500000e+00	2.500000e+00
3.516791303705542e-07	2.500000e+00	2.500000e+00
3.555254989369949e-07	2.500000e+00	2.500000e+00
3.609116025683628e-07	2.500000e+00	2.500000e+00
3.662977061997306e-07	2.500000e+00	2.500000e+00
3.716838098310985e-07	2.500000e+00	2.500000e+00
3.770699134624664e-07	2.500000e+00	2.500001e+00
3.824560170938343e-07	2.500000e+00	2.500001e+00
3.878421207252022e-07	2.500000e+00	2.500001e+00
3.932282243565701e-07	2.500000e+00	2.500002e+00
4.004250054243032e-07	2.500000e+00	2.500002e+00
4.076217864920363e-07	2.500000e+00	2.500001e+00
4.148185675597694e-07	2.500000e+00	2.500001e+00
4.220153486275026e-07	2.500000e+00	2.500000e+00
4.292121296952357e-07	2.500000e+00	2.500000e+00
4.364089107629688e-07	2.500000e+00	2.499999e+00
4.436056918307020e-07	2.500000e+00	2.499998e+00
4.481085018388158e-07	2.500000e+00	2.499999e+00
4.504939021000327e-07	2.500000e+00	2.500000e+00
4.531391472637410e-07	2.500000e+00	2.500001e+00
4.594285006387397e-07	2.500000e+00	2.500002e+00
4.651988922824416e-07	2.500000e+00	2.500002e+00
4.687407710199868e-07	2.500000e+00	2.500002e+00
4.780501148017046e-07	2.500000e+00	2.500001e+00
4.876200883427073e-07	2.500000e+00	2.500001e+00
4.971900618837100e-07	2.500000e+00	2.500001e+00
5.067600354247128e-07	2.500000e+00	2.500001e+00
5.163300089657155e-07	2.500000e+00	2.500001e+00
5.258999825067182e-07	2.500000e+00	2.500002e+00
5.354699560477210e-07	2.500000e+00	2.500003e+00
5.450399295887237e-07	2.500000e+00	2.500004e+00
5.509641020982536e-07	2.500000e+00	2.500003e+00
5.535208779576115e-07	2.500000e+00	2.500002e+00
5.577821710565415e-07	2.500000e+00	2.500003e+00
5.692361664675377e-07	2.500000e+00	2.500002e+00
5.806901618785341e-07	2.500000e+00	2.500001e+00
5.921441572895304e-07	2.500000e+00	2.500001e+00
6.035981527005267e-07	2.500000e+00	2.500001e+00
6.150521481115230e-07	2.500000e+00	2.500002e+00
6.265061435225194e-07	2.500000e+00	2.500003e+00
6.379601389335156e-07	2.500000e+00	2.500005e+00
6.442561522062972e-07	2.500000e+00	2.500003e+00
6.478684613972362e-07	2.500000e+00	2.500003e+00
6.647056985908767e-07	2.500000e+00	2.500002e+00
6.815429357845173e-07	2.500000e+00	2.500002e+00
6.983801729781578e-07	2.500000e+00	2.500002e+00
7.152174101717983e-07	2.500000e+00	2.500001e+00
7.320546473654389e-07	2.500000e+00	2.500001e+00
7.488918845590794e-07	2.500000e+00	2.500001e+00
7.657291217527199e-07	2.500000e+00	2.500001e+00
7.690225303748924e-07	2.500000e+00	2.500001e+00
7.756093476192375e-07	2.500000e+00	2.500002e+00
7.765503215112868e-07	2.503255e+00	2.500002e+00
7.784322692953854e-07	2.517578e+00	2.500002e+00
7.789027562414100e-07	2.519531e+00	2.500002e+00
7.817256779175579e-07	2.519531e+00	2.500001e+00
7.837333448195788e-07	2.519531e+00	2.500001e+00
7.865333021912294e-07	2.519531e+00	2.500000e+00
7.968359209991503e-07	2.519531e+00	2.500001e+00
8.743196491220118e-07	2.519531e+00	2.500023e+00
9.518033772448732e-07	2.519531e+00	2.500096e+00
1.029287105367735e-06	2.519531e+00	2.500217e+00
1.106770833490596e-06	2.519531e+00	2.500389e+00
1.184254561613458e-06	2.519531e+00	2.500609e+00
1.261738289736319e-06	2.519531e+00	2.500880e+00
1.339222017859180e-06	2.519531e+00	2.501199e+00
1.399107736863759e-06	2.519531e+00	2.501456e+00
1.458993455868339e-06	2.519531e+00	2.501690e+00
1.518879174872918e-06	2.519531e+00	2.501899e+00
1.578764893877497e-06	2.519531e+00	2.502085e+00
1.638650612882077e-06	2.519531e+00	2.502246e+00
1.698536331886656e-06	2.519531e+00	2.502384e+00
1.758422050891235e-06	2.519531e+00	2.502497e+00
1.851806563014419e-06	2.519531e+00	2.502603e+00
1.908138076857734e-06	2.519531e+00	2.502609e+00
1.964469590701047e-06	2.519531e+00	2.502624e+00
2.020801104544361e-06	2.519531e+00	2.502647e+00
2.077132618387675e-06	2.519531e+00	2.502678e+00
2.133464132230989e-06	2.519531e+00	2.502718e+00
2.189795646074303e-06	2.519531e+00	2.502766e+00
2.246127159917617e-06	2.519531e+00	2.502822e+00
2.296658498196034e-06	2.524496e+00	2.502913e+00
2.345525344599872e-06	2.534154e+00	2.503025e+00
2.394909534275920e-06	2.539062e+00	2.503165e+00
2.452504183095340e-06	2.539062e+00	2.503393e+00
2.510098831914760e-06	2.539062e+00	2.503651e+00
2.567693480734179e-06	2.539062e+00	2.503937e+00
2.625288129553599e-06	2.539062e+00	2.504254e+00
2.682882778373019e-06	2.539062e+00	2.504600e+00
2.740477427192438e-06	2.539062e+00	2.504975e+00
2.798072076011858e-06	2.539062e+00	2.505380e+00
2.804370618607292e-06	2.539062e+00	2.505420e+00
2.823529865268319e-06	2.539062e+00	2.505547e+00
2.887261243728419e-06	2.539062e+00	2.505962e+00
2.950992622188519e-06	2.539062e+00	2.506329e+00
3.014724000648619e-06	2.539062e+00	2.506648e+00
3.078455379108719e-06	2.539062e+00	2.506919e+00
3.142186757568819e-06	2.539062e+00	2.507143e+00
3.205918136028919e-06	2.539062e+00	2.507319e+00
3.269649514489019e-06	2.539062e+00	2.507448e+00
3.410219287809952e-06	2.539062e+00	2.507661e+00
3.565593627444868e-06	2.539062e+00	2.507929e+00
3.788450209390710e-06	2.539062e+00	2.508719e+00
3.885226956820808e-06	2.548288e+00	2.509207e+00
3.890897333743626e-06	2.552083e+00	2.509238e+00
3.902238087589264e-06	2.558594e+00	2.509303e+00
4.003087037978133e-06	2.558594e+00	2.510021e+00
4.103935988367004e-06	2.558594e+00	2.510716e+00
4.204784938755873e-06	2.558594e+00	2.511389e+00
4.305633889144742e-06	2.558594e+00	2.512039e+00
4.406482839533612e-06	2.558594e+00	2.512667e+00
4.507331789922482e-06	2.558594e+00	2.513272e+00
4.608180740311351e-06	2.558594e+00	2.513855e+00
4.689829757401888e-06	2.558594e+00	2.514168e+00
4.771478774492426e-06	2.558594e+00	2.514495e+00
4.853127791582964e-06	2.558594e+00	2.514835e+00
4.934776808673502e-06	2.558594e+00	2.515189e+00
5.016425825764039e-06	2.558594e+00	2.515557e+00
5.098074842854577e-06	2.558594e+00	2.515938e+00
5.179723859945114e-06	2.558594e+00	2.516333e+00
5.387624459293618e-06	2.558594e+00	2.517602e+00
5.415801675972596e-06	2.558594e+00	2.517784e+00
5.435411498619416e-06	2.563668e+00	2.517908e+00
5.453545635910837e-06	2.573096e+00	2.518024e+00
5.472801946431129e-06	2.578125e+00	2.518149e+00
5.638234473681343e-06	2.578125e+00	2.519348e+00
5.803667000931556e-06	2.578125e+00	2.520520e+00
5.969099528181769e-06	2.578125e+00	2.521668e+00
6.134532055431982e-06	2.578125e+00	2.522790e+00
6.299964582682196e-06	2.578125e+00	2.523887e+00
6.465397109932409e-06	2.578125e+00	2.524959e+00
6.630829637182622e-06	2.578125e+00	2.526005e+00
6.894754187755173e-06	2.578125e+00	2.527574e+00
6.959729671330398e-06	2.583784e+00	2.527970e+00
7.006872885164668e-06	2.593174e+00	2.528265e+00
7.046871691165443e-06	2.597656e+00	2.528525e+00
7.130737043778380e-06	2.597656e+00	2.529142e+00
7.214602396391317e-06	2.597656e+00	2.529797e+00
7.298467749004252e-06	2.597656e+00	2.530489e+00
7.382333101617189e-06	2.597656e+00	2.531218e+00
7.466198454230126e-06	2.597656e+00	2.531985e+00
7.550063806843061e-06	2.597656e+00	2.532789e+00
7.633929159455998e-06	2.597656e+00	2.533630e+00
7.706360456393963e-06	2.597656e+00	2.534291e+00
7.778791753331926e-06	2.597656e+00	2.534908e+00
7.851223050269891e-06	2.597656e+00	2.535480e+00
7.923654347207856e-06	2.597656e+00	2.536009e+00
7.996085644145821e-06	2.597656e+00	2.536494e+00
8.068516941083784e-06	2.597656e+00	2.536935e+00
8.140948238021749e-06	2.597656e+00	2.537332e+00
8.326094101768410e-06	2.597656e+00	2.538391e+00
8.411622234310234e-06	2.597656e+00	2.538940e+00
8.512799339546863e-06	2.603492e+00	2.539652e+00
8.580940042821550e-06	2.612271e+00	2.540180e+00
8.650031073638322e-06	2.617188e+00	2.540766e+00
8.829342434288910e-06	2.617188e+00	2.542530e+00
9.037597537804464e-06	2.617188e+00	2.544792e+00
9.107531695678326e-06	2.617188e+00	2.545542e+00
9.177465853552188e-06	2.617188e+00	2.546241e+00
9.247400011426050e-06	2.617188e+00	2.546890e+00
9.317334169299910e-06	2.617188e+00	2.547487e+00
9.387268327173772e-06	2.617188e+00	2.548034e+00
9.457202485047634e-06	2.617188e+00	2.548531e+00
9.527136642921496e-06	2.617188e+00	2.548976e+00
9.682143574239272e-06	2.617188e+00	2.549953e+00
1.004225983443417e-05	2.617188e+00	2.552697e+00
1.009881494385866e-05	2.622453e+00	2.553217e+00
1.014713999976313e-05	2.632226e+00	2.553680e+00
1.018831192796436e-05	2.636719e+00	2.554087e+00
1.029655561853841e-05	2.636719e+00	2.555287e+00
1.040479930911247e-05	2.636719e+00	2.556447e+00
1.051304299968653e-05	2.636719e+00	2.557568e+00
1.062128669026058e-05	2.636719e+00	2.558650e+00
1.072953038083464e-05	2.636719e+00	2.559692e+00
1.083777407140870e-05	2.636719e+00	2.560695e+00
1.094601776198275e-05	2.636719e+00	2.561659e+00
1.103878769680884e-05	2.636719e+00	2.562380e+00
1.113155763163493e-05	2.636719e+00	2.563122e+00
1.122432756646102e-05	2.636719e+00	2.563885e+00
1.131709750128711e-05	2.636719e+00	2.564669e+00
1.140986743611320e-05	2.636719e+00	2.565474e+00
1.150263737093929e-05	2.636719e+00	2.566300e+00
1.159540730576538e-05	2.636719e+00	2.567147e+00
1.164402137973901e-05	2.642426e+00	2.567603e+00
1.167858769461926e-05	2.651685e+00	2.567931e+00
1.170892481623673e-05	2.656250e+00	2.568221e+00
1.182897662710574e-05	2.656250e+00	2.569492e+00
1.194902843797475e-05	2.656250e+00	2.570759e+00
1.206908024884375e-05	2.656250e+00	2.572021e+00
1.218913205971276e-05	2.656250e+00	2.573279e+00
1.230918387058177e-05	2.656250e+00	2.574533e+00
1.242923568145077e-05	2.656250e+00	2.575783e+00
1.254928749231978e-05	2.656250e+00	2.577029e+00
1.255633574495728e-05	2.656250e+00	2.577094e+00
1.256338399759478e-05	2.656250e+00	2.577159e+00
1.257043225023228e-05	2.656250e+00	2.577225e+00
1.257748050286979e-05	2.656250e+00	2.577290e+00
1.258452875550729e-05	2.656250e+00	2.577356e+00
1.259157700814479e-05	2.656250e+00	2.577422e+00
1.259862526078229e-05	2.656250e+00	2.577488e+00
1.260555026330618e-05	2.656250e+00	2.577551e+00
1.261662917981550e-05	2.656250e+00	2.577650e+00
1.263350703416064e-05	2.656250e+00	2.577804e+00
1.264438408344551e-05	2.656250e+00	2.577903e+00
1.264506579454144e-05	2.656250e+00	2.577908e+00
1.264597474266933e-05	2.656250e+00	2.577916e+00
1.264779263892513e-05	2.656250e+00	2.577931e+00
1.264824711298908e-05	2.656250e+00	2.577935e+00
1.264915606111697e-05	2.656250e+00	2.577943e+00
1.265551869801226e-05	2.656250e+00	2.577999e+00
1.265733659426805e-05	2.656250e+00	2.578015e+00
1.272655457662759e-05	2.656250e+00	2.578601e+00
1.279577255898714e-05	2.656250e+00	2.579191e+00
1.286499054134668e-05	2.656250e+00	2.579784e+00
1.293420852370622e-05	2.656250e+00	2.580380e+00
1.300342650606576e-05	2.656250e+00	2.580979e+00
1.307264448842531e-05	2.656250e+00	2.581582e+00
1.314186247078485e-05	2.656250e+00	2.582189e+00
1.320445796117050e-05	2.661813e+00	2.582763e+00
1.325175074585203e-05	2.670510e+00	2.583210e+00
1.330721620900624e-05	2.675781e+00	2.583756e+00
1.338506095080161e-05	2.675781e+00	2.584597e+00
1.346290569259697e-05	2.675781e+00	2.585458e+00
1.354075043439234e-05	2.675781e+00	2.586342e+00
1.361859517618770e-05	2.675781e+00	2.587247e+00
1.369643991798307e-05	2.675781e+00	2.588175e+00
1.377428465977843e-05	2.675781e+00	2.589124e+00
1.385212940157380e-05	2.675781e+00	2.590094e+00
1.392867402065612e-05	2.675781e+00	2.590967e+00
1.400521863973843e-05	2.675781e+00	2.591794e+00
1.408176325882075e-05	2.675781e+00	2.592576e+00
1.415830787790307e-05	2.675781e+00	2.593313e+00
1.423485249698538e-05	2.675781e+00	2.594004e+00
1.431139711606770e-05	2.675781e+00	2.594651e+00
1.438794173515002e-05	2.675781e+00	2.595252e+00
1.460260391682083e-05	2.675781e+00	2.597094e+00
1.474198153111755e-05	2.675781e+00	2.598419e+00
1.478268088223654e-05	2.680419e+00	2.598834e+00
1.482767601951197e-05	2.690237e+00	2.599303e+00
1.487636965063322e-05	2.695312e+00	2.599829e+00
1.497838303669091e-05	2.695312e+00	2.601114e+00
1.508039642274861e-05	2.695312e+00	2.602375e+00
1.518240980880630e-05	2.695312e+00	2.603614e+00
1.528442319486399e-05	2.695312e+00	2.604829e+00
1.538643658092169e-05	2.695312e+00	2.606022e+00
1.548844996697938e-05	2.695312e+00	2.607192e+00
1.559046335303708e-05	2.695312e+00	2.608339e+00
1.568054253641910e-05	2.695312e+00	2.609160e+00
1.577062171980113e-05	2.695312e+00	2.609986e+00
1.586070090318315e-05	2.695312e+00	2.610818e+00
1.595078008656517e-05	2.695312e+00	2.611656e+00
1.604085926994720e-05	2.695312e+00	2.612499e+00
1.613093845332922e-05	2.695312e+00	2.613348e+00
1.622101763671125e-05	2.695312e+00	2.614202e+00
1.634657558629651e-05	2.702025e+00	2.615535e+00
1.640368744178923e-05	2.710463e+00	2.616170e+00
1.645014364448140e-05	2.714844e+00	2.616702e+00
1.650572679659746e-05	2.714844e+00	2.617358e+00
1.656130994871351e-05	2.714844e+00	2.618022e+00
1.661689310082957e-05	2.714844e+00	2.618694e+00
1.667247625294563e-05	2.714844e+00	2.619374e+00
1.672805940506169e-05	2.714844e+00	2.620063e+00
1.678364255717774e-05	2.714844e+00	2.620760e+00
1.683922570929380e-05	2.714844e+00	2.621465e+00
1.713582935952896e-05	2.714844e+00	2.624913e+00
1.715291828703543e-05	2.714844e+00	2.625094e+00
1.715634405523638e-05	2.714844e+00	2.625130e+00
1.715709314967594e-05	2.714844e+00	2.625138e+00
1.715809194226201e-05	2.714844e+00	2.625148e+00
1.716140946510446e-05	2.714844e+00	2.625182e+00
1.717650698188879e-05	2.714844e+00	2.625340e+00
1.719116285655217e-05	2.714844e+00	2.625492e+00
1.719959193616050e-05	2.714844e+00	2.625578e+00
1.720802101576883e-05	2.714844e+00	2.625665e+00
1.721645009537716e-05	2.714844e+00	2.625751e+00
1.722487917498548e-05	2.714844e+00	2.625837e+00
1.723330825459381e-05	2.714844e+00	2.625922e+00
1.724173733420214e-05	2.714844e+00	2.626008e+00
1.725016641381047e-05	2.714844e+00	2.626093e+00
1.725746585240042e-05	2.714844e+00	2.626163e+00
1.767109041784777e-05	2.714844e+00	2.630207e+00
1.778124778557831e-05	2.714844e+00	2.631344e+00
1.790364987052304e-05	2.721784e+00	2.632647e+00
1.795346957036159e-05	2.729702e+00	2.633190e+00
1.799918957588163e-05	2.734375e+00	2.633698e+00
1.805163910976012e-05	2.734375e+00	2.634291e+00
1.808732458533019e-05	2.734375e+00	2.634709e+00
1.817291014878881e-05	2.734375e+00	2.635781e+00
1.825849571224742e-05	2.734375e+00	2.636849e+00
1.834408127570604e-05	2.734375e+00	2.637914e+00
1.842966683916466e-05	2.734375e+00	2.638976e+00
1.851525240262328e-05	2.734375e+00	2.640035e+00
1.860083796608189e-05	2.734375e+00	2.641090e+00
1.868642352954051e-05	2.734375e+00	2.642143e+00
1.870864602855986e-05	2.734375e+00	2.642400e+00
1.871753502816759e-05	2.734375e+00	2.642502e+00
1.875377333994235e-05	2.734375e+00	2.642912e+00
1.875443355199697e-05	2.734375e+00	2.642919e+00
1.875531383473646e-05	2.734375e+00	2.642929e+00
1.875751454158519e-05	2.734375e+00	2.642952e+00
1.875839482432468e-05	2.734375e+00	2.642962e+00
1.877071878267757e-05	2.734375e+00	2.643096e+00
1.877124009544899e-05	2.734375e+00	2.643101e+00
1.877193517914420e-05	2.734375e+00	2.643109e+00
1.877332534653464e-05	2.734375e+00	2.643125e+00
1.877610568131551e-05	2.734375e+00	2.643155e+00
1.886006727092400e-05	2.734375e+00	2.644016e+00
1.894402886053249e-05	2.734375e+00	2.644869e+00
1.902799045014098e-05	2.734375e+00	2.645714e+00
1.911195203974947e-05	2.734375e+00	2.646551e+00
1.919591362935796e-05	2.734375e+00	2.647379e+00
1.927987521896645e-05	2.734375e+00	2.648199e+00
1.936383680857494e-05	2.734375e+00	2.649011e+00
1.945108506367339e-05	2.740282e+00	2.649928e+00
1.950807286512830e-05	2.749045e+00	2.650549e+00
1.956456409273682e-05	2.753906e+00	2.651188e+00
1.962768626006008e-05	2.753906e+00	2.651952e+00
1.969080842738333e-05	2.753906e+00	2.652735e+00
1.975393059470660e-05	2.753906e+00	2.653536e+00
1.981705276202986e-05	2.753906e+00	2.654356e+00
1.988017492935312e-05	2.753906e+00	2.655193e+00
1.994329709667637e-05	2.753906e+00	2.656049e+00
2.000641926399963e-05	2.753906e+00	2.656924e+00
