time	V(dac_out)	V(after_filter)
0.000000000000000e+00	2.500000e+00	2.500000e+00
9.999999824516700e-14	2.500000e+00	2.500000e+00
1.999999964903340e-13	2.500000e+00	2.500000e+00
3.999999929806680e-13	2.500000e+00	2.500000e+00
7.999999859613360e-13	2.500000e+00	2.500000e+00
1.599999971922672e-12	2.500000e+00	2.500000e+00
3.199999943845344e-12	2.500000e+00	2.500000e+00
6.399999887690688e-12	2.500000e+00	2.500000e+00
1.279999977538138e-11	2.500000e+00	2.500000e+00
2.559999955076275e-11	2.500000e+00	2.500000e+00
5.119999910152551e-11	2.500000e+00	2.500000e+00
1.023999982030510e-10	2.500000e+00	2.500000e+00
2.047999964061020e-10	2.500000e+00	2.500000e+00
4.095999928122041e-10	2.500000e+00	2.500000e+00
8.191999856244081e-10	2.500000e+00	2.500000e+00
3.276799942497632e-09	2.500000e+00	2.500000e+00
3.512869650921578e-08	2.500000e+00	2.500000e+00
3.732008617260921e-08	2.504197e+00	2.500000e+00
4.022715099741497e-08	2.516456e+00	2.500000e+00
4.156344269586262e-08	2.519531e+00	2.500000e+00
4.433646469635202e-08	2.519531e+00	2.500000e+00
5.248709411044964e-08	2.519531e+00	2.500000e+00
6.063772352454727e-08	2.519531e+00	2.500002e+00
6.878835293864489e-08	2.519531e+00	2.500003e+00
7.693898235274252e-08	2.519531e+00	2.500004e+00
8.508961176684014e-08	2.519531e+00	2.500006e+00
9.324024118093776e-08	2.519531e+00	2.500008e+00
1.013908705950354e-07	2.519531e+00	2.500010e+00
1.113908705950354e-07	2.524414e+00	2.500013e+00
1.213908705950354e-07	2.534180e+00	2.500017e+00
1.313908705950354e-07	2.539062e+00	2.500021e+00
1.813908705950354e-07	2.539062e+00	2.500070e+00
1.913908705950354e-07	2.543945e+00	2.500085e+00
2.013908705950354e-07	2.553711e+00	2.500101e+00
2.113908705950355e-07	2.558594e+00	2.500119e+00
2.613908705950355e-07	2.558594e+00	2.500247e+00
2.713908705950355e-07	2.563477e+00	2.500281e+00
2.813908705950355e-07	2.573242e+00	2.500317e+00
2.913908705950355e-07	2.578125e+00	2.500356e+00
3.213908705950355e-07	2.578125e+00	2.500493e+00
3.413908705950356e-07	2.578125e+00	2.500602e+00
3.513908705950356e-07	2.583008e+00	2.500661e+00
3.613908705950356e-07	2.592773e+00	2.500726e+00
3.713908705950356e-07	2.597656e+00	2.500795e+00
3.913908705950356e-07	2.597656e+00	2.500944e+00
4.013908705950356e-07	2.597656e+00	2.501024e+00
4.026408705950356e-07	2.597656e+00	2.501034e+00
4.051408705950356e-07	2.597656e+00	2.501056e+00
4.301408705950356e-07	2.597656e+00	2.501287e+00
4.401408705950356e-07	2.602539e+00	2.501385e+00
4.501408705950356e-07	2.612305e+00	2.501487e+00
4.601408705950356e-07	2.617188e+00	2.501593e+00
4.701408705950356e-07	2.617188e+00	2.501707e+00
4.734444420236071e-07	2.617188e+00	2.501746e+00
4.767480134521784e-07	2.617188e+00	2.501785e+00
4.800515848807499e-07	2.617188e+00	2.501824e+00
4.833551563093213e-07	2.617188e+00	2.501864e+00
4.866587277378927e-07	2.617188e+00	2.501905e+00
4.899622991664641e-07	2.617188e+00	2.501946e+00
4.932658705950355e-07	2.617188e+00	2.501988e+00
5.032658705950355e-07	2.617188e+00	2.502119e+00
5.132658705950356e-07	2.622070e+00	2.502252e+00
5.232658705950356e-07	2.631836e+00	2.502389e+00
5.332658705950356e-07	2.636719e+00	2.502533e+00
5.832658705950356e-07	2.636719e+00	2.503329e+00
5.932658705950356e-07	2.641602e+00	2.503503e+00
6.032658705950356e-07	2.655165e+00	2.503679e+00
6.045158705950356e-07	2.656250e+00	2.503701e+00
6.120158705950356e-07	2.656250e+00	2.503839e+00
6.620158705950356e-07	2.656250e+00	2.504823e+00
6.720158705950356e-07	2.661133e+00	2.505033e+00
6.820158705950356e-07	2.670898e+00	2.505248e+00
6.920158705950356e-07	2.675781e+00	2.505468e+00
7.520158705950357e-07	2.675781e+00	2.506866e+00
7.620158705950357e-07	2.680664e+00	2.507112e+00
7.720158705950357e-07	2.690430e+00	2.507361e+00
7.820158705950357e-07	2.695312e+00	2.507613e+00
8.320158705950358e-07	2.695312e+00	2.508923e+00
8.420158705950358e-07	2.700195e+00	2.509193e+00
8.520158705950358e-07	2.709961e+00	2.509465e+00
8.620158705950358e-07	2.714844e+00	2.509738e+00
8.691587277378929e-07	2.714844e+00	2.509935e+00
8.763015848807502e-07	2.714844e+00	2.510134e+00
8.834444420236073e-07	2.714844e+00	2.510333e+00
8.905872991664644e-07	2.714844e+00	2.510534e+00
8.977301563093216e-07	2.714844e+00	2.510736e+00
9.048730134521787e-07	2.714844e+00	2.510939e+00
9.120158705950359e-07	2.714844e+00	2.511143e+00
9.220158705950359e-07	2.719727e+00	2.511428e+00
9.320158705950359e-07	2.729492e+00	2.511715e+00
9.420158705950359e-07	2.734375e+00	2.512003e+00
9.920158705950355e-07	2.734375e+00	2.513465e+00
1.002015870595035e-06	2.739258e+00	2.513761e+00
1.012015870595035e-06	2.749023e+00	2.514060e+00
1.022015870595035e-06	2.753906e+00	2.514359e+00
1.072015870595035e-06	2.753906e+00	2.515855e+00
1.082015870595035e-06	2.758789e+00	2.516157e+00
1.092015870595035e-06	2.768555e+00	2.516459e+00
1.102015870595034e-06	2.773438e+00	2.516761e+00
1.152015870595034e-06	2.773438e+00	2.518282e+00
1.162015870595034e-06	2.778320e+00	2.518588e+00
1.172015870595034e-06	2.788086e+00	2.518895e+00
1.182015870595034e-06	2.792969e+00	2.519202e+00
1.193265870595034e-06	2.792969e+00	2.519548e+00
1.200765870595034e-06	2.792969e+00	2.519781e+00
1.230765870595033e-06	2.792969e+00	2.520715e+00
1.240765870595033e-06	2.797852e+00	2.521026e+00
1.250765870595033e-06	2.807617e+00	2.521338e+00
1.260765870595033e-06	2.812500e+00	2.521652e+00
1.310765870595032e-06	2.812500e+00	2.523249e+00
1.320765870595032e-06	2.817383e+00	2.523570e+00
1.330765870595032e-06	2.827148e+00	2.523893e+00
1.340765870595032e-06	2.832031e+00	2.524220e+00
1.390765870595032e-06	2.832031e+00	2.525891e+00
1.400765870595032e-06	2.836914e+00	2.526231e+00
1.410765870595032e-06	2.846680e+00	2.526574e+00
1.420765870595031e-06	2.851562e+00	2.526920e+00
1.470765870595031e-06	2.851562e+00	2.528691e+00
1.480765870595031e-06	2.856445e+00	2.529057e+00
1.490765870595031e-06	2.866211e+00	2.529425e+00
1.500765870595031e-06	2.871094e+00	2.529795e+00
1.560765870595030e-06	2.871094e+00	2.532097e+00
1.570765870595030e-06	2.875977e+00	2.532495e+00
1.580765870595030e-06	2.885742e+00	2.532896e+00
1.590765870595030e-06	2.890625e+00	2.533299e+00
1.640765870595029e-06	2.890625e+00	2.535384e+00
1.650765870595029e-06	2.895508e+00	2.535814e+00
1.660765870595029e-06	2.905273e+00	2.536247e+00
1.670765870595029e-06	2.910156e+00	2.536684e+00
1.720765870595029e-06	2.910156e+00	2.538935e+00
1.730765870595028e-06	2.915039e+00	2.539397e+00
1.740765870595028e-06	2.924805e+00	2.539863e+00
1.750765870595028e-06	2.929688e+00	2.540332e+00
1.800765870595028e-06	2.929688e+00	2.542740e+00
1.810765870595028e-06	2.934570e+00	2.543232e+00
1.820765870595028e-06	2.944336e+00	2.543728e+00
1.830765870595027e-06	2.949219e+00	2.544228e+00
1.837908727737885e-06	2.949219e+00	2.544587e+00
1.845051584880742e-06	2.949219e+00	2.544948e+00
1.852194442023599e-06	2.949219e+00	2.545311e+00
1.859337299166456e-06	2.949219e+00	2.545675e+00
1.866480156309313e-06	2.949219e+00	2.546041e+00
1.873623013452170e-06	2.949219e+00	2.546409e+00
1.880765870595027e-06	2.949219e+00	2.546779e+00
1.890765870595027e-06	2.954102e+00	2.547297e+00
1.900765870595027e-06	2.963867e+00	2.547818e+00
1.910765870595027e-06	2.968750e+00	2.548343e+00
1.969515870595026e-06	2.968750e+00	2.551484e+00
1.979515870595026e-06	2.973633e+00	2.552026e+00
1.989515870595026e-06	2.983398e+00	2.552570e+00
1.999515870595026e-06	2.988281e+00	2.553117e+00
2.049515870595026e-06	2.988281e+00	2.555878e+00
2.059515870595026e-06	2.993164e+00	2.556435e+00
2.069515870595025e-06	3.002930e+00	2.556993e+00
2.079515870595025e-06	3.007812e+00	2.557552e+00
2.129515870595025e-06	3.007812e+00	2.560369e+00
2.139515870595025e-06	3.012695e+00	2.560935e+00
2.149515870595025e-06	3.022461e+00	2.561501e+00
2.159515870595025e-06	3.027344e+00	2.562067e+00
2.210765870595024e-06	3.027344e+00	2.564991e+00
2.218265870595024e-06	3.027344e+00	2.565420e+00
2.228265870595024e-06	3.032227e+00	2.565994e+00
2.238265870595024e-06	3.041992e+00	2.566567e+00
2.249515870595024e-06	3.046875e+00	2.567213e+00
2.252015870595024e-06	3.046875e+00	2.567356e+00
2.268265870595024e-06	3.046875e+00	2.568289e+00
2.275765870595024e-06	3.046875e+00	2.568721e+00
2.295765870595024e-06	3.046875e+00	2.569877e+00
2.305765870595024e-06	3.051758e+00	2.570455e+00
2.317015870595024e-06	3.066406e+00	2.571105e+00
2.321390870595024e-06	3.066406e+00	2.571356e+00
2.328890870595024e-06	3.066406e+00	2.571791e+00
2.358890870595024e-06	3.066406e+00	2.573535e+00
2.378890870595024e-06	3.066406e+00	2.574702e+00
2.388890870595024e-06	3.071289e+00	2.575286e+00
2.398890870595023e-06	3.081055e+00	2.575871e+00
2.408890870595023e-06	3.085938e+00	2.576456e+00
2.417283727737881e-06	3.085938e+00	2.576948e+00
2.425676584880737e-06	3.085938e+00	2.577442e+00
2.434069442023595e-06	3.085938e+00	2.577936e+00
2.442462299166452e-06	3.085938e+00	2.578432e+00
2.450855156309309e-06	3.085938e+00	2.578930e+00
2.459248013452166e-06	3.085938e+00	2.579428e+00
2.467640870595023e-06	3.085938e+00	2.579928e+00
2.477640870595023e-06	3.090820e+00	2.580525e+00
2.487640870595023e-06	3.100586e+00	2.581121e+00
2.497640870595023e-06	3.105469e+00	2.581719e+00
2.547640870595022e-06	3.105469e+00	2.584742e+00
2.557640870595022e-06	3.110352e+00	2.585351e+00
2.567640870595022e-06	3.120117e+00	2.585964e+00
2.577640870595022e-06	3.125000e+00	2.586579e+00
2.637640870595021e-06	3.125000e+00	2.590324e+00
2.647640870595021e-06	3.129883e+00	2.590956e+00
2.657640870595021e-06	3.139648e+00	2.591592e+00
2.667640870595021e-06	3.144531e+00	2.592231e+00
2.717640870595021e-06	3.144531e+00	2.595471e+00
2.727640870595020e-06	3.149414e+00	2.596127e+00
2.737640870595020e-06	3.159180e+00	2.596786e+00
2.747640870595020e-06	3.164062e+00	2.597448e+00
2.811390870595020e-06	3.164062e+00	2.601754e+00
2.816390870595020e-06	3.167318e+00	2.602099e+00
2.826390870595020e-06	3.178711e+00	2.602789e+00
2.836390870595020e-06	3.183594e+00	2.603482e+00
2.843355156309305e-06	3.183594e+00	2.603965e+00
2.850319442023591e-06	3.183594e+00	2.604451e+00
2.857283727737877e-06	3.183594e+00	2.604938e+00
2.864248013452162e-06	3.183594e+00	2.605427e+00
2.871212299166448e-06	3.183594e+00	2.605917e+00
2.878176584880734e-06	3.183594e+00	2.606410e+00
2.885140870595019e-06	3.183594e+00	2.606904e+00
2.895140870595019e-06	3.188477e+00	2.607615e+00
2.905140870595019e-06	3.198242e+00	2.608330e+00
2.915140870595019e-06	3.203125e+00	2.609049e+00
2.936390870595019e-06	3.203125e+00	2.610585e+00
2.943890870595019e-06	3.203125e+00	2.611131e+00
2.973890870595019e-06	3.203125e+00	2.613328e+00
2.983890870595019e-06	3.208008e+00	2.614067e+00
2.993890870595019e-06	3.217773e+00	2.614810e+00
3.003890870595018e-06	3.222656e+00	2.615554e+00
3.063890870595018e-06	3.222656e+00	2.620071e+00
3.073890870595018e-06	3.227539e+00	2.620832e+00
3.083890870595018e-06	3.237305e+00	2.621595e+00
3.093890870595018e-06	3.242188e+00	2.622360e+00
3.143890870595017e-06	3.242188e+00	2.626216e+00
3.153890870595017e-06	3.247070e+00	2.626993e+00
3.163890870595017e-06	3.256836e+00	2.627770e+00
3.173890870595017e-06	3.261719e+00	2.628548e+00
