time	V(input_signal)	V(v_out)
0.000000000000000e+00	0.000000e+00	7.836371e-07
5.859375484806861e-11	2.929688e-07	7.842598e-07
2.343750193922745e-10	1.171875e-06	7.841062e-07
4.687500387845489e-10	2.343750e-06	7.826870e-07
9.375000775690978e-10	4.687500e-06	7.817059e-07
3.750000310276391e-09	1.875000e-05	7.913001e-07
7.500000620552782e-09	3.750000e-05	7.959448e-07
1.500000124110556e-08	7.500000e-05	7.856411e-07
3.000000248221113e-08	1.500000e-04	7.788144e-07
6.000000496442226e-08	3.000000e-04	7.874617e-07
1.200000099288445e-07	6.000000e-04	7.860344e-07
2.400000198576890e-07	1.200000e-03	7.807749e-07
4.800000397153781e-07	2.400000e-03	7.852558e-07
9.600000794307562e-07	4.800000e-03	7.827656e-07
1.920000158861512e-06	9.600000e-03	7.829110e-07
2.146246429165965e-06	1.073123e-02	7.839443e-07
2.375156663247662e-06	1.187578e-02	7.896915e-07
2.523328728017559e-06	1.261664e-02	7.871416e-07
2.687016981862947e-06	1.343509e-02	7.820760e-07
3.014393489553725e-06	1.507197e-02	7.861494e-07
3.669146504935281e-06	1.834573e-02	7.917478e-07
4.978652535698392e-06	2.489326e-02	7.995578e-07
5.776353066425569e-06	2.888177e-02	8.044383e-07
6.598167881730015e-06	3.299084e-02	8.124758e-07
7.356771128575330e-06	3.678386e-02	8.199339e-07
8.091338522001754e-06	4.045669e-02	8.281148e-07
8.935307252859643e-06	4.467653e-02	8.414949e-07
9.917926837721178e-06	4.958963e-02	8.565526e-07
1.091945852564931e-05	5.459729e-02	8.743615e-07
1.159670735643452e-05	5.798354e-02	8.877606e-07
1.256616235341072e-05	6.283081e-02	9.066341e-07
1.290801545020674e-05	6.454008e-02	9.130321e-07
1.359172164379879e-05	6.795861e-02	9.323504e-07
1.383443351495089e-05	6.917217e-02	9.312560e-07
1.393831970264701e-05	6.969160e-02	9.251275e-07
1.400370305533560e-05	7.001851e-02	9.326168e-07
1.404340174606596e-05	7.021701e-02	9.319979e-07
1.405749313638325e-05	7.028747e-02	9.287712e-07
1.406125391322154e-05	7.030627e-02	9.277561e-07
1.406309955216924e-05	7.031550e-02	9.297744e-07
1.406387136367355e-05	7.031935e-02	9.344374e-07
1.406423493041134e-05	7.032117e-02	9.368155e-07
